Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.717,0.62,0.717,0.665,0.791
Random Forest,0.741,0.651,0.724,0.686,0.811
XGBoost,0.74,0.652,0.717,0.683,0.812
